# birth rate dataset
# year, birth_rate, fertility_rate, country
2001,26.72,0.83,Country3
2003,28.63,2.65,Country3
1995,21.71,4.10,Country1
1990,24.63,4.74,Country1
1987,22.79,4.58,Country1
1995,27.62,6.25,Country2
2000,26.36,2.75,Country3
1990,23.56,5.73,Country1
1993,31.78,7.37,Country2
1991,28.26,6.03,Country2
1999,27.65,2.52,Country3
1990,32.40,5.90,Country2
1999,27.46,5.33,Country3
1989,25.56,5.97,Country1
1989,25.20,4.66,Country1
1996,29.97,5.02,Country2
1997,28.82,4.70,Country3
1995,27.63,2.70,Country3
1996,30.41,7.27,Country2
1991,24.76,6.05,Country1
1984,21.72,4.83,Country1
1996,29.10,5.22,Country2
1986,25.93,3.34,Country1
1994,29.14,6.22,Country2
1992,27.01,5.58,Country1
1999,26.87,2.04,Country3
1991,28.70,6.28,Country2
1995,32.45,5.66,Country2
1995,26.98,4.56,Country3
1997,32.80,8.10,Country2
1998,29.03,7.51,Country2
1989,26.81,5.42,Country1
1995,29.83,2.68,Country3
1998,32.31,4.82,Country2
1996,28.31,5.85,Country2
1994,30.73,4.89,Country2
1999,26.82,2.83,Country3
1990,30.14,5.17,Country2
2002,26.18,4.52,Country3
1993,25.09,4.86,Country1
2002,26.86,5.48,Country3
2004,28.87,3.34,Country3
1988,25.93,5.06,Country1
1996,26.83,4.54,Country3
1986,25.39,5.03,Country1
1993,27.16,5.07,Country2
1984,25.88,6.03,Country1
2000,30.75,6.75,Country3
1990,25.79,5.33,Country1
1998,26.67,3.77,Country3
1991,30.90,3.96,Country2
1998,28.83,4.75,Country3
1990,27.70,6.93,Country2
1993,24.59,4.83,Country1
2001,30.34,4.39,Country3
1995,32.21,6.94,Country2
1991,23.77,5.30,Country1
1998,28.63,2.92,Country3
1989,25.77,3.27,Country1
1984,23.83,5.47,Country1
1987,22.98,3.95,Country1
1987,22.83,5.08,Country1
1990,26.93,4.90,Country1
1987,26.91,5.54,Country1
2001,28.13,1.84,Country3
1994,26.29,4.69,Country1
2001,29.79,6.63,Country2
1993,32.79,4.89,Country2
2000,31.35,4.42,Country3
1998,28.67,4.18,Country3
1991,29.00,5.49,Country2
1997,28.99,5.03,Country3
1989,27.01,3.67,Country1
1998,28.68,3.54,Country3
1993,27.22,7.21,Country2
1996,32.30,5.99,Country2
1999,31.49,7.15,Country2
1991,24.62,5.24,Country1
1990,26.25,4.11,Country1
1989,23.94,3.10,Country1
1997,27.23,3.70,Country3
1998,28.13,3.13,Country3
1996,24.44,3.93,Country1
1987,25.36,5.60,Country1
1994,28.13,5.73,Country2
1994,31.91,5.79,Country2
1997,26.71,4.25,Country3
2001,27.51,4.81,Country3
2002,25.79,2.85,Country3
2000,28.41,5.82,Country3
2001,30.79,3.19,Country3
1991,23.23,6.36,Country1
1994,27.72,6.61,Country2
1998,29.74,3.43,Country3
1988,25.08,5.91,Country1
2002,25.92,3.88,Country3
1982,24.53,4.44,Country1
2000,30.12,3.53,Country3
1999,27.74,3.33,Country3
1998,28.02,6.07,Country2
1997,30.22,2.67,Country3
2000,26.84,5.95,Country3
1985,28.24,4.80,Country1
1998,31.24,5.05,Country2
1996,27.46,3.24,Country3
1991,25.63,7.40,Country1
1999,24.79,4.90,Country3
1987,30.32,6.61,Country2
1991,27.74,6.85,Country2
1995,30.15,4.93,Country2
1988,23.24,4.83,Country1
1990,23.73,4.63,Country1
1985,23.62,5.30,Country1
1998,28.24,5.23,Country3
1995,30.50,5.11,Country2
1992,30.35,5.52,Country2
1994,24.19,5.13,Country1
1999,31.42,6.18,Country2
1998,28.48,5.56,Country2
1995,29.66,6.31,Country2
2000,28.75,3.79,Country3
1986,25.80,5.39,Country1
1992,21.12,2.05,Country1
1993,29.68,5.72,Country2
1998,28.03,3.64,Country3
2001,29.50,2.78,Country3
1990,23.39,5.14,Country1
2000,27.33,4.02,Country3
1996,28.07,6.25,Country3
1987,25.06,4.47,Country1
1990,33.03,5.24,Country2
1987,23.45,5.06,Country1
1992,30.94,7.06,Country2
1994,26.92,5.79,Country1
1994,28.82,7.13,Country2
1996,28.92,8.28,Country2
1990,31.67,5.83,Country2
2000,27.16,4.03,Country3
1995,28.02,6.84,Country2
1998,29.31,4.53,Country3
1991,29.02,6.89,Country2
1992,31.99,5.68,Country2
1985,26.43,5.77,Country1
1999,31.79,5.97,Country2
1989,22.32,5.03,Country1
2002,27.10,3.43,Country3
1996,30.39,5.23,Country2
1985,23.82,4.57,Country1
1989,23.87,5.63,Country1
1995,26.75,2.98,Country3
