State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn
OH,166,510,No,No,18,273.7205934189898,122,41.05808901284846,203.74280385001956,90,20.374280385001956,268.06267182354867,96,21.445013745883895,16.75252253881863,3,3.3505045077637265,5,True
FL,103,408,Yes,No,41,233.12317485928665,62,34.968476228892996,278.19441905420774,74,27.819441905420774,220.31948780480926,58,17.625559024384742,5.1576983681248025,6,1.0315396736249605,9,False
GA,167,415,Yes,Yes,34,212.21326791867705,119,31.831990187801555,196.55299820425768,127,19.655299820425768,302.4187590664723,126,24.193500725317787,16.42834841566226,3,3.2856696831324523,7,True
IL,52,408,No,Yes,45,121.09809513613558,55,18.164714270420337,247.1262337897472,148,24.712623378974722,337.6332052386023,128,27.010656419088182,18.39956740682184,7,3.6799134813643684,8,False
OH,193,408,No,Yes,25,199.84218709867275,133,29.97632806480091,146.34319477062786,97,14.634319477062787,105.51653717057272,76,8.441322973645818,11.492598815857583,7,2.298519763171517,4,False
MI,61,415,Yes,Yes,4,327.5336591955336,101,49.13004887933003,249.9428287426245,147,24.994282874262453,345.63031806400966,64,27.650425445120774,13.033137096466973,8,2.6066274192933947,5,False
TX,123,415,Yes,No,28,302.00565747663825,52,45.30084862149574,315.3784268067234,59,31.53784268067234,121.53303476592009,141,9.722642781273608,12.154750889264808,2,2.430950177852962,3,False
OH,65,415,No,Yes,36,154.01284125292182,130,23.101926187938272,317.1599099558564,148,31.715990995585642,303.5966948171903,68,24.287735585375227,10.838129279351582,9,2.1676258558703165,4,False
GA,151,415,No,No,19,216.651946174304,112,32.497791926145595,281.0861015823849,124,28.10861015823849,170.08368813785313,139,13.60669505102825,18.311368030555403,5,3.6622736061110808,6,False
IL,166,415,Yes,Yes,48,304.1808006396361,98,45.627120095945415,286.4383447690315,60,28.64383447690315,133.04491443846794,101,10.643593155077436,18.409002660049858,9,3.6818005320099716,8,False
FL,57,415,No,No,20,116.84613869638063,125,17.526920804457095,239.48186128767517,134,23.948186128767517,209.96390992845872,75,16.797112794276696,10.037245469623018,5,2.007449093924604,9,True
GA,171,415,Yes,No,9,196.84814641716483,96,29.52722196257472,246.1670225414562,70,24.616702254145622,260.98914486190336,138,20.87913158895227,14.22604631022047,7,2.845209262044094,5,True
GA,141,510,Yes,No,4,312.96030921848694,104,46.94404638277304,133.4126453526295,135,13.341264535262951,195.23796125586875,75,15.619036900469501,18.90361343218796,9,3.780722686437592,5,True
TX,139,408,Yes,No,35,200.97446604253093,113,30.14616990637964,210.96479710532526,94,21.096479710532527,113.64135207067474,75,9.09130816565398,19.430877484120273,4,3.886175496824055,7,True
PA,185,415,Yes,No,5,119.40366118286022,114,17.910549177429033,212.69407097159097,56,21.2694070971591,249.86528491467917,95,19.989222793174335,12.634385606330714,2,2.5268771212661427,3,False
IL,109,510,No,No,25,235.63359213306288,130,35.34503881995943,339.62445891693505,130,33.962445891693505,325.60081902766865,141,26.04806552221349,11.7923720792649,9,2.3584744158529802,2,False
NY,77,510,No,Yes,3,315.4356237295739,116,47.31534355943608,207.77171565582236,113,20.777171565582236,195.80384148681293,98,15.664307318945035,9.180414738927887,2,1.8360829477855773,6,False
GA,150,510,Yes,No,38,247.57138573828993,139,37.13570786074349,237.33566122568942,113,23.733566122568945,154.08319440770674,131,12.32665555261654,19.38307809785615,3,3.87661561957123,4,True
PA,90,408,Yes,Yes,38,156.56977705355794,64,23.48546655803369,233.3128498197756,51,23.33128498197756,210.64433648320386,145,16.851546918656307,7.14221456709301,2,1.428442913418602,1,True
NY,194,415,Yes,Yes,49,196.05990503434532,149,29.408985755151797,259.1904292610818,125,25.919042926108183,112.09067776219521,102,8.967254220975617,13.697443640715875,3,2.7394887281431752,1,True
IL,190,510,Yes,No,34,212.53084029548305,81,31.879626044322457,287.05820783297395,91,28.705820783297398,305.1218961200687,52,24.409751689605496,9.238254012779583,6,1.8476508025559166,5,False
CA,95,408,Yes,Yes,0,244.8165884551317,145,36.72248826826975,156.26046904271803,131,15.626046904271803,306.5852027375467,115,24.526816219003734,9.18512435521695,3,1.8370248710433899,7,True
MI,84,408,No,No,23,289.8377564381533,117,43.475663465722995,232.18110477460894,103,23.218110477460897,247.0001158574071,146,19.76000926859257,11.074528810642827,8,2.2149057621285655,0,False
PA,183,408,No,Yes,35,124.71840441015885,67,18.707760661523828,306.4794268290076,124,30.647942682900762,188.27572223459737,91,15.06205777876779,19.981894037234817,6,3.9963788074469635,5,True
NC,131,510,No,No,5,322.41300825439157,132,48.36195123815873,215.7786784593779,65,21.57786784593779,299.9458411114458,68,23.995667288915666,5.824494602597331,7,1.1648989205194662,1,False
CA,164,415,No,Yes,40,103.0774257540189,92,15.461613863102835,169.61438659339325,67,16.961438659339326,238.67175619709178,66,19.093740495767342,13.678127273052972,1,2.7356254546105947,1,True
MI,96,510,Yes,No,45,192.5130836685638,84,28.87696255028457,263.67726883907477,148,26.36772688390748,306.48307713750404,82,24.518646171000324,6.238582370529158,3,1.2477164741058315,6,False
TX,59,510,Yes,No,43,106.85507749316442,127,16.02826162397466,305.9418489497807,108,30.59418489497807,257.86469814575514,125,20.629175851660413,7.317812449857785,3,1.4635624899715571,9,True
OH,105,415,Yes,No,30,198.2435563363228,107,29.73653345044842,115.78507323184783,139,11.578507323184784,296.10136830319937,98,23.688109464255948,11.59344412659348,2,2.3186888253186964,0,True
FL,79,415,Yes,No,19,231.45314971833093,82,34.71797245774964,294.1976208518068,65,29.41976208518068,249.64074830444,105,19.9712598643552,12.65690197019662,7,2.5313803940393242,5,False
NC,158,415,Yes,Yes,23,227.92034664537795,63,34.18805199680669,305.4119832404428,55,30.54119832404428,203.53526705391656,112,16.282821364313325,8.88188612546786,9,1.776377225093572,6,False
TX,54,408,No,No,24,141.40708675706634,83,21.21106301355995,215.3807318971517,106,21.53807318971517,339.48646498153437,52,27.15891719852275,9.746856963116244,4,1.9493713926232488,7,True
IL,168,415,Yes,Yes,35,261.4351275239031,110,39.21526912858546,345.82641420461687,96,34.58264142046169,235.2784562197112,98,18.822276497576894,6.3045053038389955,5,1.2609010607677993,6,False
TX,82,510,No,Yes,20,111.19461262616706,53,16.679191893925058,296.6770851768273,97,29.66770851768273,251.2723796351346,104,20.101790370810768,9.548296757663758,3,1.9096593515327518,5,True
OH,167,415,No,Yes,29,290.4767050331038,137,43.57150575496557,293.41564122391645,91,29.341564122391645,155.12190985368733,75,12.409752788294986,19.498376590708162,9,3.8996753181416324,8,False
IL,114,510,No,No,23,336.66110849838657,108,50.49916627475798,286.959643603018,125,28.6959643603018,256.4126973568191,148,20.513015788545527,19.170610725087226,4,3.8341221450174454,2,True
NC,195,408,No,Yes,43,184.94220678777947,78,27.74133101816692,137.6520258045685,109,13.765202580456851,242.90191237073597,121,19.432152989658878,10.023174352054774,5,2.0046348704109547,5,False
OH,60,510,Yes,Yes,41,229.30984542858297,132,34.396476814287446,154.3077216132527,126,15.430772161325272,146.20959948675625,101,11.6967679589405,13.562809044181424,1,2.712561808836285,3,True
NY,134,510,No,Yes,29,194.7275695147036,55,29.20913542720554,215.99753286610627,53,21.59975328661063,114.89677433828592,149,9.191741947062875,18.643930866664164,2,3.728786173332833,1,True
FL,75,415,No,No,21,101.67759757601499,146,15.251639636402247,166.00108748986645,51,16.600108748986646,251.08982992869278,56,20.087186394295422,5.09275733961345,9,1.0185514679226901,0,True
NC,112,415,No,No,27,196.46862572377898,98,29.470293858566848,203.8102430835101,139,20.381024308351012,290.92306733758016,95,23.273845387006414,17.16025355506388,2,3.432050711012776,0,False
NY,135,510,Yes,Yes,6,297.9300648153366,89,44.68950972230049,322.11602748073017,108,32.21160274807302,230.85034273050206,95,18.468027418440165,19.225543291833787,5,3.8451086583667577,9,True
MI,108,415,Yes,No,34,248.99721054587044,132,37.349581581880564,306.0817229698173,76,30.60817229698173,156.69315632991143,149,12.535452506392915,6.369886015003356,8,1.2739772030006713,2,False
NC,76,408,Yes,No,27,125.31497865378974,114,18.79724679806846,257.50996961999556,76,25.750996961999558,266.63049417325874,65,21.330439533860698,7.4217152904938155,3,1.484343058098763,3,False
